t34446aep|VIAAT_XENLA
t35904aep|DDAC_ENTAG
t35900aep|RHCG_XENTR
t32662aep|SERB_BOVIN
t31833aep|BP10_PARLI
t38117aep|SAXO1_RAT
t32691aep|PP14C_RAT
t35860aep|KIF3A_MACFA
t35863aep|SSPO_CHICK
t32307aep|NCAN_PANTR
t32305aep|PPCT_MOUSE
t35991aep|FLNC_RAT
t34431aep|RSPH1_HUMAN
t31844aep|TLL1_DANRE
t34796aep|PCMD2_BOVIN
t31227aep|SYCP2_RAT
t36650aep|ANKK1_MOUSE
t37814aep|CC105_BOVIN
t37816aep|LRP2_RAT
t32265aep|SYD1_CAEEL
t32253aep|YPEL5_PONAB
t32266aep|GGT1_PIG
t32263aep|IF172_DANRE
t35079aep|RB39B_MOUSE
t33696aep|CNRP1_BOVIN
t35853aep|TM175_MOUSE
t35850aep|CYTA_MOUSE
t32616aep|FBN1_BOVIN
t33645aep|TLR1_DROME
t33648aep|KPCD3_HUMAN
t32412aep|M3K19_HUMAN
t36940aep|ROP1L_XENLA
t36938aep|SYT15_HUMAN
t31713aep|TBA_NOTVI
t36574aep|OPN4B_XENLA
t36585aep|CALM_MACPY
t38683aep|H10A_XENLA
t38670aep|RADI_BOVIN
t32852aep|NPC2_DROME
t36491aep|VP37B_HUMAN
t36486aep|SCN1_HETBL
t34600aep|KPSH1_BOVIN
t36257aep|EDIL3_MOUSE
t37214aep|ITA9_MOUSE
t38658aep|PKHG5_MOUSE
t38455aep|PDE11_DROME
t31915aep|F149A_MOUSE
t34560aep|AMPN_RAT
t35296aep|MORN2_BOVIN
t31908aep|RSLBA_HUMAN
t31899aep|AT1A_HYDVU
t38186aep|CRYAB_BOVIN
t32714aep|TENS1_HUMAN
t34195aep|SAM9L_HUMAN
t32775aep|CELR2_HUMAN
t33155aep|CBPD_LOPSP
t36928aep|CACB2_RABIT
t35005aep|CHRD_XENLA
t35003aep|CTNS_HUMAN
t35006aep|CER1_HUMAN
t32319aep|AAPK2_HUMAN
t36032aep|ABCA1_HUMAN
t36031aep|ANPRA_MOUSE
t34090aep|MYLK_RABIT
t32151aep|HE_PARLI
t38447aep|SAX_LITCT
t34475aep|LRIG2_HUMAN
t34674aep|KI16B_MOUSE
t37718aep|CFA45_HUMAN
t37723aep|INTU_BOVIN
t32517aep|IRF8_HUMAN
t32519aep|PTR36_ARATH
t32516aep|DTNB_MOUSE
t36988aep|FAT4_HUMAN
t36994aep|KINH_SYNRA
t37006aep|SVIL_MOUSE
t35158aep|LITH_RAT
t35151aep|ACTP1_ANTAS
t35152aep|ACTP1_ANTAS
t37988aep|GLNA_PANAR
t33783aep|GRM3_MOUSE
t33776aep|ASIC3_HUMAN
t31950aep|B3GN2_HUMAN
t31935aep|AP4S1_HUMAN
t31941aep|ZNT10_MOUSE
t31942aep|ECE1_CAVPO
t32744aep|LMX1A_HUMAN
t33592aep|ZNT1_HUMAN
t33595aep|FLT3_HUMAN
t38581aep|HE_HEMPU
t38586aep|KCNB1_PIG
t38582aep|TTC24_HUMAN
t38428aep|SIX6_HUMAN
